review_id,review_text
AR001,"Sofia to Zaporizhia via Istanbul. I used Turkish airlines so many times before. I had to buy a flight back from Sofia to Ukraine at around 4PM, I chose the connections and found 2 Turkish airlines flights at 4PM and at 9PM for that day with a stop in Istanbul for more than 12 hours as the shortest. So I decided to call the airlines service and check if they will provide me with the hotel, the woman at the service ensured me that the flight at 4PM won’t provide me with this, cause it’s not a shortest connection, while the one at 9 will do. So i decided to stay at Sofia for longer and come late but with possibility to have a free hotel. When time of the travel came I decided to write to the hotel desk in advance and they told me that I am not eligible for it, cause there is another flight on the next day which is more closer in time and i had to book it. Well in the end I had to stay in Sofia till 9pm instead of 4, arrived to Istanbul at midnight to the new airport which is situated in the middle of nowhere and search for the hotel somewhere myself due to the incompetence of the worker who didn’t check this matter. I wrote several letters to their feedback center in order to complain and get any kind of help to change my tickets for free or get a hotel, but they didn’t help in any way and they said that they checked our conversation and didn’t find any mistake cause their workers are professional. So in the end you can find “how professional their service is in real” and how they are trying to avoid any hotel or other expenses. I would never use their terrible service again."
AR002,"Flew from Perth to Doha then onto Munich with Qatar Airways. Check-in was good, seats were comfortable but restricted when seat in front was reclined. Disappointed in the food as it was not very tasty, breakfast was not good either, although the Doha to Munich leg the seemed to be fresher. Staff were very good but could have come round mre often with water etc."
AR003,"New York to Paris. This was one of the many Air France-operated flights that are booked and managed through Delta, and this made the few gate changes and delays we experienced on both legs of the trip more complicated. However, the in-flight experience was pleasant and the aircraft was nice. I prefer Airbuses whenever I can fly them, and Air France does a good job of keeping seat pitch in theirs roomy for economy passengers. At the advice of some other reviewers, we paid the small and reasonable fee each way to ""upgrade"" to the upper deck of the cabin, which is a much more intimate space with a better attendant-to-passenger ratio. The pitch was also about 3' more generous, and the upstairs was a more quiet, warm space than any I've flown internationally. Meals came noticeably quicker in the upper deck, even considering that we were some of the last people upstairs to be served, and I did not run into a waiting line for the restroom once on either leg of the trip. I did not book in time to get an upper deck window seat, but I'd heard about the added bonus of a storage container that these passengers got included in the same ticket price I paid. I was in the middle but had a woman to my left without someone next to her, and I saw her window seat storage bin first-hand. It was big and literally fit all of her odds-and-ends. It was awesome and another reason to book this seat if you can. Well worth the money. Crew was friendly, food was okay but warm and well-portioned, and the in-flight entertainment was good. The only real negatives were the complications of booking Air France through Delta, which I feel created more delays and gate changes than would have occurred if I'd booked direct. Further, I feel this made my options for upgrades more limited."
AR004,"Exceptional service by cabin crew on all 4 legs with Qatar Airways flying from Bangkok to Manchester via Doha. Aircraft all had the latest products and were very comfortable but on the ground Qatar is terrible: their new airport at Doha doesn't have enough toilets nor showers. My advice is to use the toilets on board before you deplane. In Manchester at the ""Escape"" lounge for business class customers I had to pay for a snack - GBP 6.95 for a hamburger, I could have had a some ""chips"" at GBP 2.00."
AR005,"New York to Dhaka via Doha. We decided to travel by Qatar airways due to the reviews in Skytrax and I'm glad i made this decision. This was my first time traveling with Qatar airways and i really enjoyed the travel. Their staff service was good, the plane was nice. One thing i really have to praise is their time, we did not have to worry about getting delayed. we traveled by Emirates before and the experience wasn't very pleasant. Qatar Airways is a very amazing airline."
AR006,"Hong Kong to Adelaide. The flight was on time and smooth. The seat was spacious which I can stretch my leg fully though I am 6 feet tall. Really appreciate the meal service which provides a nice Thai style salad as the appetiser with a Malay curry chicken as main. Dessert was impressive, with cheese cakes and chocolate bars. Amenities Kit was also provided with branded body care products. Only pain point was the lacking of internet connectivity."
AR007,London to Kolkata via Dubai. Rude staff that treat your special meal as a nuisance. I had to ask the stewardess for mine and it arrived 55 minutes after everyone else had finished their meals. Take the blankets and headphones 30 minutes before landing to save time and costs. Dubai to Kolkata is a farce at the gate. No organisation or concept of common sense.
AR008,"The service was excellent. Very impressed to see Singapore Airlines continuing to be one of my favourite airlines to travel with. The meals were excellent, inflight entertainment was excellent, and the cleanliness in the washrooms were perfect on both of my flights. It is always wonderful travelling with Singapore Airlines and will always continue to use the airline for future travels! Way to go Singapore Airlines!"
AR009,"The aircraft was very old, the screen Tv was blurred and not working and my seat was uncomfortable. No wifi unfortunately. The cabin crew were nice, respectful and helpful."
AR010,"This was an absolutely fantastic experience on Emirates first class from Dubai to Manchester on EK17 on April 8th. Its been a while since I last flew with Emirates. When compared with the likes of British Airways, Etihad and American Airlines, Emirates wins by a mile. Todays flight was excellent. The First class cabin was lovely, the onboard Spa was truly refreshing and spacious. I was well looked after by the head purser on this flight. The food and beverage offer were of high quality, and last but not least, the ICE entertainment was phenomenal - you are literally spoilt for choice. The chauffeur driven services in both destinations were excellent and extremely useful; a superb feature when travelling premium. The only downside is the Wifi connection is slightly slow and sluggish. It is complimentary however when travelling premium. I would recommend flying with Emirates again and cant wait to fly again with them. Well done for a fantastic service!"
AR011,"Singapore to Denpasar Bali. Early morning departure from SIN at Chinese New Year, so it was a pretty full flight. Just after security check and with less than one hour to departure, we were told that there was a technical problem with the plane and we needed to switch plane (different gate). Amazingly, the entire flight was only delayed by 1 hour, which given the short notice, I feel is pretty amazing. Flight was on A330, which has the 2-4-2 configuration, and as usual, I opted for the (2) seat which I increasingly like. Seats were slightly narrower than the B777, but it just feels less cramped than the 3 seat options. Flight crew were slightly less charming than usual, but I guess the last minute change probably had something to do with this, and they still dealt very politely with some very demanding customers. Food was reasonably good (had Indonesian option), and IFE was as standard on the A330, if slightly dated. Only slight downside was the toilet, which although clean, had obviously seen better days with some wear and tear. So a good economy experience and I guess the additional cost for the flight (as opposed to the budget airline) pays off when something does wrong, as the recovery was really fast."
AR012,"I have flown Emirates extensively in the Lisbon-Dubai route and I find their product rather consistent. This last time check-in took a bit too much than I would expect for Business, but security fast-track works well and is convenient. In Lisbon Emirates uses the TAP lounge which is a bummer as other than being very crowded at all times, it is located before passport control (Schengen area) which forces people to leave much earlier than boarding start. If flying Business in the Boeing 777-300 do choose the front mini-cabin (first 2 rows before the door) as all the 300+ Economy passengers board through the door before the aft cabin leading to an annoying 1h boarding process with people passing by. Food and crew are usually great and very helpful and friendly. At Dubai very easy process to go through priority passport control and to reach the complimentary limo service, all very efficient. I have found some drivers to be quite rude and/or driving dangerously - Emirates should improve their standards for this personnel. All in all, Emirates is one of the few airlines offering a truly distinctive premium service, from the moment you leave home until you set your feet at your destination hotel. I will continue flying with them."
AR013,"Amritsar to Vancouver via Doha. Best airline service. All the crew members are so nice. But Amritsar check in counter service is very poor. First they gave us business class boarding pass at the very end at boarding time they have changed our boarding pass in to Economy, and I asked them why you are giving us separate seats? It was a long flight and I have to go and check my husband every hour."
AR014,"It seems they are holding out for their new A350's before providing a proper service to business class passengers. Cabin crew were friendly and helpful. The seats were old and worn. Flight was delayed one hour due to an IFE technical problem. JAL don't communicate their meal service too well, so left waiting or wondering what the plan is and communication of baggage procedures in Tokyo is awful. This may be mainly a Japan customs procedure, but airlines should communicate properly. Unfortunately JAL did not do this."
AR015,"Newcastle to San Francisco via Paris. Really impressed. The A380 is a great aircraft and we really enjoyed our flight. The cabin was not ultra modern and maybe in need of a refresh soon but it was clean and comfortable. We loved our seats in row 93 and no one behind us so we could recline. Service was punctual we were offered an aperitif with a snack and you could have champagne, the meal service was good with plenty of food. There was snacks and soft drinks in the galley where you could help yourself. Another meal was served before landing. Entertainment was a little outdated but it served a purpose. Loved the big storage boxes on the side of our seat as we were on the upper deck. Very comfortable flight. The crew were helpful and friendly."
