review_id,topic,sentiment,review_required
AR001,booking_and_preflight,negative,true
AR001,airport_and_ground_service,negative,true
AR002,booking_and_preflight,positive,false
AR002,seat_and_cabin_comfort,mixed,false
AR002,cabin_crew_service,mixed,false
AR002,food_and_beverages,negative,false
AR004,airport_and_ground_service,negative,false
AR004,seat_and_cabin_comfort,positive,false
AR004,cabin_crew_service,positive,false
AR006,flight_operations,positive,false
AR006,seat_and_cabin_comfort,positive,false
AR006,food_and_beverages,positive,false
AR006,inflight_entertainment_and_connectivity,negative,false
AR009,seat_and_cabin_comfort,negative,false
AR009,cabin_crew_service,positive,false
AR009,inflight_entertainment_and_connectivity,negative,false
AR018,booking_and_preflight,negative,true
AR018,flight_operations,negative,true
AR018,airport_and_ground_service,negative,true
AR018,value_for_money,negative,true
AR019,airport_and_ground_service,negative,false
AR022,seat_and_cabin_comfort,negative,false
AR022,cabin_crew_service,negative,false
AR022,food_and_beverages,mixed,false
AR027,cabin_crew_service,negative,false
AR029,airport_and_ground_service,negative,false
AR029,cabin_crew_service,negative,false
AR029,food_and_beverages,negative,false
AR029,inflight_entertainment_and_connectivity,negative,false
AR029,value_for_money,negative,false
AR032,flight_operations,positive,false
AR032,airport_and_ground_service,positive,false
AR032,seat_and_cabin_comfort,positive,false
AR032,cabin_crew_service,positive,false
AR032,food_and_beverages,positive,false
AR032,inflight_entertainment_and_connectivity,mixed,false
AR035,booking_and_preflight,negative,false
AR035,seat_and_cabin_comfort,negative,false
AR035,cabin_crew_service,negative,false
AR035,food_and_beverages,negative,false
AR035,inflight_entertainment_and_connectivity,negative,false
AR035,value_for_money,negative,false
AR039,seat_and_cabin_comfort,mixed,false
AR039,cabin_crew_service,negative,false
AR039,food_and_beverages,negative,false
AR046,airport_and_ground_service,mixed,false
AR046,seat_and_cabin_comfort,negative,false
AR046,cabin_crew_service,negative,false
AR046,food_and_beverages,mixed,false
AR050,booking_and_preflight,positive,false
AR050,flight_operations,positive,false
AR050,airport_and_ground_service,positive,false
AR050,seat_and_cabin_comfort,positive,false
AR050,cabin_crew_service,positive,false
